,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
44537,gdb_44538,N=C1OC2C3NC3C2O1,3.64746,1.58298,1.50806,5.7868,65.2,-0.2411,0.056,0.2971,898.8727,0.114989,-453.907672,-453.901325,-453.900381,-453.938511,25.484
117348,gdb_117349,CC(C)OC(=O)CNC,3.68666,0.77314,0.72162,1.7988,79.9,-0.2227,0.0177,0.2405,1699.6055,0.191688,-441.520498,-441.509404,-441.508459,-441.557777,38.875
72247,gdb_72248,CC12CC3COC1C23O,2.41518,1.72594,1.48216,0.8538,74.75,-0.2172,0.0698,0.287,999.5866,0.159396,-422.994257,-422.986217,-422.985272,-423.026247,31.816
26998,gdb_26999,C#CCc1c(cco1)N,3.223,1.27137,0.95366,1.1932,77.05,-0.1894,0.0245,0.2139,1188.83,0.124035,-400.736279,-400.727751,-400.726807,-400.769731,32.102
126675,gdb_126676,CCCOc1ncon1,6.61838,0.73431,0.66922,0.7075,70.75,-0.2645,-0.0179,0.2466,1648.9284,0.136107,-455.145567,-455.137015,-455.136071,-455.179972,29.98
104749,gdb_104750,CCC1(CO)NC1C#C,2.2026,1.29546,0.9583,3.0845,82.2,-0.2362,0.0394,0.2755,1296.9857,0.168534,-403.084964,-403.074684,-403.07374,-403.120105,37.669
2768,gdb_2769,CN1CCC1C=O,4.46999,2.00044,1.50109,2.8429,62.44,-0.2271,-0.0282,0.199,822.145,0.135753,-325.758113,-325.750714,-325.74977,-325.78988,26.07
124831,gdb_124832,CC(O)CC1=NON=N1,4.39738,0.95061,0.87098,3.7984,66.64,-0.2841,-0.0671,0.217,1323.4275,0.122641,-471.15231,-471.143704,-471.142759,-471.186472,30.697
86528,gdb_86529,CC1CN(C1)C(=N)C=O,4.01826,0.88894,0.78644,4.1668,80.55,-0.2288,-0.0676,0.1612,1472.3833,0.158557,-419.203733,-419.194407,-419.193463,-419.238678,33.219
21947,gdb_21948,c1c(con1)CCO,6.83914,1.00942,0.93703,2.9016,62.54,-0.2574,-0.0114,0.2461,1183.9329,0.119271,-399.785245,-399.777636,-399.776692,-399.818305,26.646
20044,gdb_20045,C1NC1C1=NCCO1,5.57034,1.40071,1.22805,1.828,66.5,-0.2394,0.0166,0.256,993.5492,0.132696,-379.905593,-379.898331,-379.897387,-379.938333,25.73
40861,gdb_40862,C1CC2(C1)C1C3CC2C13,3.74387,1.42886,1.31361,0.2896,85.32,-0.2393,0.0894,0.3287,1058.5676,0.184616,-349.892333,-349.885169,-349.884224,-349.923685,30.115
63467,gdb_63468,CC1(O)CC1(C)C1CC1,2.61428,1.31614,1.04713,1.2466,86.08,-0.2406,0.0759,0.3165,1265.3561,0.2032,-388.265426,-388.255215,-388.254271,-388.29997,39.313
18073,gdb_18074,O=COC1C2CCC12,4.63221,1.38973,1.31881,4.1194,65.04,-0.2679,0.004,0.2719,961.6866,0.130626,-383.726918,-383.719676,-383.718732,-383.759036,26.421
101598,gdb_101599,COC(=O)CC(C)CO,4.52116,0.67362,0.64508,2.7216,76.2,-0.2664,0.017,0.2834,1790.7352,0.17944,-461.39681,-461.38566,-461.384716,-461.434491,38.278
4308,gdb_4309,Cc1ncoc(=O)n1,4.10071,2.00428,1.35749,3.7839,58.46,-0.2843,-0.0818,0.2026,834.834,0.083999,-414.723944,-414.717204,-414.71626,-414.755315,23.798
21569,gdb_21570,c1c(cnoc1=O)N,4.02993,1.91051,1.29673,7.2811,61.24,-0.2439,-0.0663,0.1776,851.1007,0.084428,-414.668603,-414.661952,-414.661008,-414.699289,25.125
124481,gdb_124482,Cc1cnoc1C(C)C,2.41518,1.31598,1.05322,3.2446,81.98,-0.2403,-0.0013,0.2391,1254.5934,0.169907,-403.164808,-403.155191,-403.154247,-403.199987,34.606
78856,gdb_78857,OC1C2C3C2C2(O)C3C12,3.33155,1.58458,1.37337,0.8018,69.63,-0.2204,0.0736,0.294,953.6217,0.136534,-421.768107,-421.760993,-421.760049,-421.799154,29.513
29348,gdb_29349,c1c(c(c([nH]1)N)C#N)O,2.02495,1.90689,0.98412,5.1974,72.38,-0.196,0.0041,0.2001,1103.8809,0.102336,-432.916208,-432.907704,-432.90676,-432.949114,31.389
130674,gdb_130675,c1c(=O)[nH]c(=O)cnn1,2.46692,1.8079,1.11456,0.5711,65.15,-0.2633,-0.1014,0.1618,989.523,0.078256,-468.816724,-468.809685,-468.808741,-468.848573,25.805
27846,gdb_27847,NC1=CC([O-])=NC(=[NH2+])N1,2.00786,1.86744,0.97081,8.3063,72.79,-0.2161,0.0006,0.2166,1135.9123,0.115514,-450.195473,-450.187538,-450.186594,-450.227642,30.854
48553,gdb_48554,O=CC12C3C4CN1C2C34,3.94306,1.48869,1.36673,4.3631,72.77,-0.237,-0.0331,0.2039,950.9429,0.125191,-400.695717,-400.68904,-400.688096,-400.727026,26.353
60033,gdb_60034,CC(C)CN(C=N)C=O,2.7226,0.94526,0.82596,5.3867,82.81,-0.2405,-0.0179,0.2227,1494.7922,0.180586,-420.432239,-420.421657,-420.420712,-420.468703,37.235
1678,gdb_1679,CCN(C)C(=O)N,3.85102,2.16158,1.53733,3.5809,61.53,-0.2284,0.0631,0.2915,835.258,0.148116,-343.07653,-343.067896,-343.066952,-343.109942,30.029
75254,gdb_75255,CC1=CCC23CC12CC3,2.64737,1.68767,1.34302,0.2781,87.66,-0.2104,0.0273,0.2378,1063.3325,0.183945,-349.933876,-349.925974,-349.92503,-349.965703,32.216
18371,gdb_18372,OC1COC2CCC12,3.11781,2.2333,1.58752,1.0392,66.15,-0.243,0.0624,0.3054,842.8827,0.155478,-384.927746,-384.920583,-384.919639,-384.959286,27.733
23826,gdb_23827,c1c(=O)nc(on1)F,4.06839,2.02185,1.35063,2.0836,47.53,-0.2857,-0.0952,0.1905,770.1361,0.048095,-474.61317,-474.607336,-474.606392,-474.643671,20.62
5843,gdb_5844,CC(C)(C(=O)NC)O,3.1651,1.46539,1.29213,2.6648,68.82,-0.2321,0.0374,0.2695,1059.1315,0.162916,-402.242891,-402.232929,-402.231985,-402.27746,35.608
115614,gdb_115615,CC1OC11CCC1CO,2.80647,1.05551,0.9098,2.363,79.24,-0.2554,0.0728,0.3282,1376.177,0.180678,-424.196313,-424.18662,-424.185675,-424.231073,35.753
50475,gdb_50476,C1C(COC(=O)O1)C=O,4.70679,0.97041,0.84657,3.752,63.53,-0.2812,-0.0601,0.2211,1271.323,0.112252,-494.942661,-494.934464,-494.93352,-494.977009,28.219
111246,gdb_111247,OCC1C2CC1CCC2,3.07793,1.17256,1.07092,1.2358,84.67,-0.259,0.0783,0.3373,1255.0949,0.208776,-388.286592,-388.27813,-388.277186,-388.319529,33.653
38512,gdb_38513,C1C2CC3=CC1N1C2C31,2.62532,2.46425,2.3615,2.2296,78.35,-0.2114,-0.0406,0.1708,763.1116,0.151951,-364.734961,-364.729527,-364.728583,-364.76421,24.972
130160,gdb_130161,C(c1c(n[nH]c1O)N)O,2.38899,1.57022,0.97262,2.3833,67.47,-0.1991,0.0443,0.2434,1147.5974,0.126217,-471.217492,-471.208892,-471.207948,-471.250524,32.27
17974,gdb_17975,C1CCOCOCC1,2.59367,2.2842,1.40875,0.7727,71.01,-0.2548,0.0903,0.3451,937.0511,0.179711,-386.139947,-386.132381,-386.131436,-386.171598,29.273
8331,gdb_8332,CC1CC2(CCO2)C1,5.49055,1.23987,1.2312,1.621,75.25,-0.2358,0.0788,0.3146,1089.5946,0.177031,-348.985139,-348.977125,-348.976181,-349.01788,30.369
22121,gdb_22122,CC1(CC(C1)=NO)C#C,3.58293,0.92727,0.8795,0.5345,83.09,-0.2464,0.0023,0.2487,1370.3526,0.144268,-401.866087,-401.856609,-401.855665,-401.90053,35.709
27464,gdb_27465,OC1=NC(=N)C=NC=N1,2.63543,1.78614,1.18391,2.5218,69.79,-0.2548,-0.0921,0.1626,976.6517,0.091352,-448.943695,-448.936645,-448.935701,-448.975368,26.357
96400,gdb_96401,CC1OCCNC1C#N,2.06198,1.72211,1.21393,4.7812,75.47,-0.2339,0.0247,0.2585,1098.6294,0.160889,-419.216674,-419.208164,-419.207219,-419.249615,32.352
80134,gdb_80135,OC1C2C=CCN2C1=O,2.59437,1.83754,1.33158,2.4219,69.37,-0.2478,-0.0034,0.2444,959.5886,0.12561,-437.897989,-437.890415,-437.889471,-437.930312,28.35
14777,gdb_14778,COCCCNC=O,7.31079,0.63571,0.61634,3.3912,70.92,-0.2515,0.0323,0.2838,1797.0223,0.164146,-402.213643,-402.203812,-402.202868,-402.250212,32.697
76650,gdb_76651,CC(=O)OC1C(O)C1O,2.89176,1.13977,1.05204,2.6057,65.0,-0.244,0.0074,0.2514,1208.1457,0.132915,-496.099812,-496.090239,-496.089295,-496.135196,33.895
55397,gdb_55398,[O-]C(=O)C1CC=CC[NH2+]1,3.35834,1.20697,0.92021,4.6832,72.85,-0.2533,0.0062,0.2596,1227.7204,0.150302,-439.127706,-439.11985,-439.118906,-439.160403,30.154
67810,gdb_67811,OC12C=CC3OC1C23O,2.42674,1.99327,1.6047,1.925,64.99,-0.2222,-0.0054,0.2168,876.6389,0.111236,-457.695821,-457.688319,-457.687375,-457.727264,29.714
127056,gdb_127057,CCOCc1cnoc1,5.64012,0.72934,0.65375,3.9993,74.66,-0.2526,-0.0067,0.2459,1681.8279,0.146991,-439.06958,-439.060612,-439.059668,-439.105081,31.135
89060,gdb_89061,CC1OC1CCC1CC1,4.77051,0.62167,0.59527,1.6915,87.26,-0.2567,0.0963,0.353,1958.7276,0.204562,-388.264326,-388.254321,-388.253376,-388.300466,36.663
113691,gdb_113692,OCC1CN1C(=O)CO,3.57682,0.88325,0.74187,3.679,70.77,-0.265,-0.0114,0.2536,1496.934,0.145776,-476.20952,-476.199801,-476.198857,-476.245167,34.117
39262,gdb_39263,C1C2CCC3OCC12O3,2.47912,2.20911,1.53985,1.5156,73.74,-0.2424,0.0791,0.3214,916.5152,0.162469,-423.012688,-423.00599,-423.005046,-423.043361,28.308
6772,gdb_6773,CCC[NH2+]CC([O-])=O,4.85772,0.82876,0.80239,5.3928,68.55,-0.2473,0.0219,0.2692,1478.5416,0.165217,-402.234319,-402.225131,-402.224186,-402.269336,32.216
112068,gdb_112069,OCC1N=CNC1C#C,2.23749,1.50758,1.00948,3.7706,74.64,-0.2348,0.0065,0.2413,1164.8482,0.136651,-417.973519,-417.964938,-417.963994,-418.007077,32.017
27676,gdb_27677,Cc1c([nH]c(n1)O)C#C,2.92682,1.29965,0.90505,1.3811,79.86,-0.1973,0.0021,0.1994,1217.7512,0.11213,-416.833893,-416.825239,-416.824295,-416.866987,32.211
104870,gdb_104871,CCC1(OC)OCC=C1,2.20645,1.53268,1.22666,2.1377,80.0,-0.2487,0.008,0.2567,1158.9512,0.180853,-424.232415,-424.222802,-424.221858,-424.266812,35.465
22084,gdb_22085,CC1(CCC(=NO)C1)C,3.44261,0.99183,0.94326,0.9186,85.46,-0.2368,0.0145,0.2513,1367.28,0.19319,-404.338791,-404.329248,-404.328304,-404.372622,37.176
74710,gdb_74711,CC1=NC2CC(C2)CO1,2.94682,1.57274,1.24199,2.039,80.76,-0.232,0.0335,0.2654,1077.6414,0.172487,-403.154022,-403.145829,-403.144884,-403.188172,31.257
16443,gdb_16444,CC12CN1C1COC21,4.26588,1.96098,1.7625,0.4876,67.15,-0.2284,0.0559,0.2843,807.7356,0.142787,-363.783407,-363.776668,-363.775723,-363.813914,26.712
96575,gdb_96576,OC1CCCOCC=C1,2.42173,1.38379,1.00942,1.0391,79.9,-0.2402,0.0007,0.2409,1223.6068,0.183881,-424.213921,-424.205286,-424.204342,-424.246777,33.985
33760,gdb_33761,N#CC12CC(O1)C21CC1,2.45211,1.65363,1.27245,4.5016,74.59,-0.2598,-0.0093,0.2505,1021.5111,0.12378,-400.663604,-400.656093,-400.655149,-400.695549,29.205
48601,gdb_48602,O=CC12CN(C1)C21CC1,2.63409,1.47944,1.23484,1.8151,77.49,-0.2303,-0.0403,0.19,1073.461,0.147018,-401.851295,-401.843365,-401.842421,-401.884108,30.424
36675,gdb_36676,C#CCNC1CC1C#N,2.90354,0.94907,0.94123,3.9335,78.49,-0.2379,0.0239,0.2619,1331.9531,0.134934,-380.819213,-380.809996,-380.809052,-380.85415,33.499
118245,gdb_118246,COCC(C)CC1CC1,4.89253,0.61927,0.57653,0.9075,90.64,-0.2503,0.0888,0.3392,2016.1034,0.227137,-389.472237,-389.461213,-389.460269,-389.509224,39.685
64697,gdb_64698,CC1(CC#C)NC1C=O,4.51738,0.81583,0.78845,2.8652,79.99,-0.2501,-0.031,0.2192,1460.617,0.144326,-401.900407,-401.890699,-401.889755,-401.935339,35.229
52984,gdb_52985,CC#CC12CN1C=NC2,4.36174,0.94611,0.86897,2.172,83.3,-0.2386,-0.0022,0.2364,1373.7473,0.136073,-380.828464,-380.819942,-380.818997,-380.864092,30.698
122637,gdb_122638,CCOCC1COC1C,3.78273,0.72811,0.65365,1.9911,83.39,-0.2406,0.0854,0.326,1806.0393,0.203805,-425.404349,-425.393794,-425.39285,-425.44127,37.121
92835,gdb_92836,OC1CC=C2CCC12O,2.28851,1.64611,1.5291,2.6184,77.29,-0.2419,-0.0029,0.239,1005.6143,0.158996,-422.999822,-422.991456,-422.990511,-423.032256,33.09
110908,gdb_110909,OCC1C2CC(O2)C1O,3.03774,1.42404,1.1977,2.7549,69.77,-0.25,0.0663,0.3163,1072.1072,0.161358,-460.132053,-460.124431,-460.123487,-460.163994,30.74
32942,gdb_32943,C[NH2+]CC1=CN=C([O-])O1,2.56977,0.8147,0.63737,4.2906,77.36,-0.243,-0.0938,0.1492,1735.5191,0.133112,-455.168349,-455.157915,-455.15697,-455.206995,34.208
35932,gdb_35933,C#CC1COCC=CC1,2.29242,1.49358,1.25789,1.6109,81.98,-0.2423,0.0108,0.2531,1108.588,0.159391,-385.850135,-385.841528,-385.840583,-385.883956,32.651
97403,gdb_97404,CN=COC1CC1(C)C,4.61777,0.70129,0.66982,2.717,88.74,-0.2442,0.0261,0.2703,1801.2891,0.190847,-404.336691,-404.325993,-404.325049,-404.372921,38.421
48773,gdb_48774,O=CC12CC1CC1OC21,2.91979,1.50675,1.27074,3.059,72.46,-0.252,-0.0215,0.2305,1020.4348,0.136497,-421.816788,-421.809531,-421.808587,-421.848489,28.541
86172,gdb_86173,NC1CC(O)C=C1C#N,2.8261,1.23637,1.03189,3.6753,77.56,-0.2464,-0.0543,0.1921,1174.9997,0.137397,-418.025181,-418.016547,-418.015603,-418.058586,32.22
64537,gdb_64538,OC1(C=O)C2C3CC3C12,4.25664,1.24304,1.1158,2.6342,73.78,-0.2266,-0.0377,0.1888,1090.673,0.134882,-421.754888,-421.747298,-421.746353,-421.786747,30.307
44237,gdb_44238,O=C1OC2C1CC21CN1,4.08971,1.2429,1.14737,3.1618,68.9,-0.2606,0.0034,0.264,1068.3482,0.125334,-437.861601,-437.854435,-437.85349,-437.893527,27.656
32271,gdb_32272,c1cc(c(nc1)N)CO,2.58173,1.48382,0.9556,0.8317,78.98,-0.2143,-0.0109,0.2034,1181.1169,0.138655,-418.067858,-418.059787,-418.058843,-418.100457,31.083
81700,gdb_81701,CC1C2CC1CCCC2,2.4393,1.47866,1.22741,0.1051,91.41,-0.2737,0.0806,0.3543,1193.8404,0.232687,-352.369448,-352.361123,-352.360178,-352.40154,34.733
51175,gdb_51176,O=CCC12CCCC1N2,3.79816,1.0092,0.90295,3.3404,79.02,-0.2372,-0.018,0.2192,1327.7973,0.171761,-403.152944,-403.144433,-403.143489,-403.186935,32.01
95101,gdb_95102,CC1OCC2NC12C#C,2.55393,1.56129,1.18314,2.3109,79.23,-0.2369,0.0281,0.265,1087.6138,0.14724,-401.89714,-401.888755,-401.887811,-401.92981,32.418
96000,gdb_96001,CC1CCOC1C1CN1,2.88335,1.32058,1.09549,2.482,81.17,-0.2359,0.0725,0.3085,1203.2272,0.195908,-404.329486,-404.320522,-404.319578,-404.363601,33.639
132644,gdb_132645,c1c(nc(c(n1)F)N)O,3.21366,1.42432,0.98742,3.2898,66.25,-0.2147,-0.0355,0.1792,1072.1119,0.090293,-494.097023,-494.089771,-494.088827,-494.128532,28.252
73325,gdb_73326,OC12CCC34OC(C13)C24,3.01149,1.98238,1.42891,2.5079,70.65,-0.2266,0.0641,0.2907,901.6812,0.136301,-421.713992,-421.707298,-421.706354,-421.744543,28.265
22716,gdb_22717,ON=C1CC2(NC12)C=O,3.64021,1.03746,0.88831,2.2091,74.16,-0.248,-0.0447,0.2033,1257.7705,0.111,-453.858444,-453.850314,-453.84937,-453.891475,30.115
75309,gdb_75310,CC1=CCC2NC12C#C,2.4182,1.66906,1.15562,1.1106,85.16,-0.2259,0.0105,0.2364,1100.3146,0.147122,-364.769857,-364.76145,-364.760506,-364.802426,32.791
97184,gdb_97185,CN=C1CCOC(=O)O1,2.79293,1.38369,0.96736,3.672,69.55,-0.2681,-0.0086,0.2595,1182.697,0.124186,-475.074715,-475.066285,-475.065341,-475.108915,29.653
51546,gdb_51547,O=CCC1CC11COC1,4.65975,0.77633,0.74304,1.7749,77.0,-0.2474,-0.0247,0.2227,1529.4258,0.157409,-422.991776,-422.982696,-422.981751,-423.027126,32.211
58657,gdb_58658,CC(N)C1(NC1C)C#N,1.86879,1.48203,1.14635,2.6401,80.39,-0.2473,0.0154,0.2627,1212.9146,0.170168,-399.318682,-399.308446,-399.307502,-399.353765,37.218
104775,gdb_104776,OCC1(CO)OC1C=O,2.97615,1.00591,0.86333,1.4026,66.61,-0.2672,-0.0519,0.2153,1330.1766,0.133173,-496.069243,-496.059801,-496.058856,-496.104047,33.645
28809,gdb_28810,Cc1ccc(=O)ncc1,3.23162,1.34701,1.03462,5.4311,82.5,-0.2453,-0.0759,0.1694,1143.4433,0.125117,-400.793597,-400.785794,-400.78485,-400.826051,29.28
122,gdb_123,CNCC#N,27.0505,2.37302,2.25333,4.1469,43.52,-0.249,0.0208,0.2698,535.2152,0.091346,-227.324775,-227.318937,-227.317993,-227.353619,19.026
33691,gdb_33692,N#CC12C3CC4C(C13)N24,3.91886,1.50175,1.40318,5.419,73.16,-0.2524,0.0031,0.2555,928.4257,0.11514,-379.627834,-379.621586,-379.620641,-379.658428,25.325
127587,gdb_127588,Cn1ncc(n1)CC#C,6.00024,0.90223,0.7942,0.8265,77.14,-0.2508,-0.0043,0.2465,1395.1494,0.124198,-396.904202,-396.895378,-396.894434,-396.940032,30.717
108664,gdb_108665,CCC1=C(C)CCC1C,1.75209,1.5116,0.98784,0.1657,96.36,-0.2154,0.0355,0.251,1384.2437,0.228444,-352.393037,-352.382475,-352.381531,-352.428815,39.236
121148,gdb_121149,CCCC1CCC11CO1,3.03817,0.89117,0.7543,1.8096,86.27,-0.2535,0.0751,0.3286,1606.8115,0.204796,-388.268307,-388.258604,-388.25766,-388.303461,36.168
23544,gdb_23545,CCC1C2NC2C1=NO,2.12605,1.57861,1.00283,1.9723,79.74,-0.2307,0.0076,0.2383,1207.2773,0.158516,-419.115716,-419.106773,-419.105829,-419.149501,33.706
28237,gdb_28238,C1Cc2c(oc(n2)N)C1,4.59128,1.24069,0.99751,1.6508,76.07,-0.1918,0.0351,0.2269,1165.0967,0.139454,-418.051588,-418.044071,-418.043127,-418.083585,28.947
30785,gdb_30786,Cn1cnc(c1O)OC,3.42949,1.25215,0.92795,1.8311,72.63,-0.1729,0.0434,0.2163,1239.8248,0.135201,-455.163848,-455.154171,-455.153227,-455.199538,33.139
9698,gdb_9699,NC1(CC=CC1)C#N,3.12258,1.80311,1.63101,2.9054,69.31,-0.2553,0.0086,0.2639,867.8156,0.132065,-342.803719,-342.796171,-342.795227,-342.835857,28.34
63214,gdb_63215,CC1(O)C=CCC11CC1,2.07306,1.86548,1.36711,1.3947,83.17,-0.2417,0.0232,0.2649,1063.5238,0.18181,-387.089069,-387.080212,-387.079267,-387.122057,35.329
91755,gdb_91756,CC1CC2CC1OCC2,2.31636,1.72002,1.51278,1.3454,83.53,-0.2371,0.0731,0.3101,1048.654,0.209799,-388.31599,-388.308155,-388.307211,-388.347741,32.453
79609,gdb_79610,CC1C2C3OC3C(=O)C12,2.35918,1.79581,1.44898,3.1535,71.76,-0.2414,-0.0391,0.2023,971.5728,0.136246,-421.808103,-421.800555,-421.799611,-421.840141,29.236
87569,gdb_87570,CC1NC11C2CN2C1C,2.54927,1.40967,1.20948,2.1311,82.46,-0.227,0.0724,0.2994,1158.0204,0.182268,-383.201985,-383.193082,-383.192138,-383.235216,34.357
132824,gdb_132825,C#Cc1c(cccn1)F,2.99005,1.55055,1.02106,1.9293,78.38,-0.2449,-0.052,0.1929,1062.9221,0.089293,-423.596309,-423.589184,-423.58824,-423.627963,27.181
73623,gdb_73624,CC12CC=CC1CCO2,2.38945,1.80724,1.37447,1.1967,82.42,-0.2389,0.0273,0.2662,1041.5266,0.184526,-387.119139,-387.111247,-387.110303,-387.151416,31.809
72487,gdb_72488,CC12CCC(COC1)O2,2.49197,1.81209,1.49621,0.6861,76.95,-0.2302,0.084,0.3143,1000.1138,0.185062,-424.24853,-424.240819,-424.239875,-424.280172,31.508
70016,gdb_70017,CC12CC1C1CCOC21,3.11585,1.49099,1.29588,1.4445,81.2,-0.2316,0.0817,0.3133,1078.9113,0.184351,-387.069013,-387.061025,-387.060081,-387.101419,31.578
92633,gdb_92634,CC1CC2CCCC=C12,3.03293,1.30142,0.99796,0.2033,92.68,-0.2245,0.0319,0.2564,1280.2986,0.208192,-351.169163,-351.160782,-351.159838,-351.201761,33.772
72758,gdb_72759,CC12CNC1=CC(=N)O2,3.18931,1.51061,1.22608,4.2426,79.17,-0.2277,-0.0318,0.196,1037.049,0.136588,-417.981156,-417.973467,-417.972523,-418.013088,30.256
116904,gdb_116905,CCCC#CC1(CC1)C,4.28015,0.56632,0.5475,0.1523,97.87,-0.2242,0.0602,0.2843,2184.7989,0.203713,-351.131473,-351.120548,-351.119604,-351.170192,39.248
124000,gdb_124001,c1c2c([nH]n1)C=CCN2,3.72139,1.59324,1.14324,2.8504,79.02,-0.1937,-0.0205,0.1732,1013.4038,0.129193,-396.949835,-396.9431,-396.942156,-396.980805,27.001
38847,gdb_38848,C1OC2CC1C1OC1C2,2.81259,1.87385,1.56951,0.6556,72.85,-0.2449,0.0858,0.3307,916.239,0.163091,-423.028672,-423.022079,-423.021134,-423.059362,27.566
47120,gdb_47121,C#CC1=CCNC(=O)C1,3.26548,1.16631,0.86846,3.571,81.31,-0.2399,-0.0276,0.2123,1263.2523,0.12475,-400.767371,-400.759044,-400.7581,-400.800831,30.924
76368,gdb_76369,OC1C(O)C1(C#N)C#N,2.15643,1.45992,1.19926,4.4027,65.08,-0.2819,-0.0186,0.2634,1054.0666,0.087525,-452.735698,-452.72698,-452.726035,-452.769111,31.094
53387,gdb_53388,CC#CC1CCC11CC1,2.8096,1.01191,0.82457,0.2411,92.65,-0.2375,0.0528,0.2903,1489.2274,0.181495,-349.910562,-349.900871,-349.899927,-349.946513,35.378
45500,gdb_45501,N=C1CC2=CCOC2O1,4.01256,1.36385,1.12418,3.1787,72.94,-0.2564,-0.0125,0.244,1059.6945,0.126401,-437.902064,-437.895066,-437.894121,-437.933799,27.022
23110,gdb_23111,ON=C1C=CNC1C=O,2.75847,1.32974,0.99281,0.8713,73.7,-0.2025,-0.0385,0.164,1147.9658,0.112406,-453.919724,-453.911602,-453.910657,-453.952757,29.844
74705,gdb_74706,CC1=CC2CC(C2)C=C1,3.00663,1.49207,1.18673,0.3392,90.31,-0.2032,-0.0226,0.1806,1128.4835,0.185424,-349.960943,-349.95321,-349.952266,-349.992677,31.779
79753,gdb_79754,OC1C2C3NC3CC12O,2.51491,1.76878,1.39848,2.5443,70.21,-0.2189,0.0609,0.2798,972.6365,0.149048,-439.042375,-439.034935,-439.03399,-439.073767,30.669
114348,gdb_114349,OCC1CC2C(O)C2O1,3.1285,1.17624,1.11349,2.0361,70.31,-0.2433,0.0635,0.3069,1168.6685,0.159818,-460.137781,-460.12943,-460.128485,-460.171014,32.244
95811,gdb_95812,OC1COCC(O)C1O,2.31533,1.56829,1.08954,2.9155,66.62,-0.2414,0.0483,0.2896,1119.5402,0.159846,-497.294947,-497.286204,-497.28526,-497.32776,34.016
10772,gdb_10773,CC1C(O)C(=O)C1O,2.8955,1.99397,1.49579,1.0931,60.52,-0.2578,-0.0365,0.2213,870.1778,0.128507,-420.873592,-420.865094,-420.864149,-420.906263,30.717
53338,gdb_53339,CC#CC1OC2CC2O1,3.60164,1.00725,0.97212,1.2805,75.74,-0.2356,0.0363,0.2718,1303.6617,0.134552,-421.769123,-421.760494,-421.75955,-421.80407,31.005
105034,gdb_105035,COC1(CC1)C(C)C=O,2.2313,1.13593,1.11756,3.1436,79.13,-0.2298,-0.0156,0.2142,1287.1286,0.178748,-424.207369,-424.196873,-424.195929,-424.243855,37.38
124675,gdb_124676,CC(C=O)N1C=CC=N1,3.74247,1.04217,1.01641,1.3742,75.29,-0.2473,-0.0391,0.2082,1225.6282,0.136011,-418.035912,-418.027399,-418.026454,-418.070422,30.305
54118,gdb_54119,CC1(C2C[NH2+]C12)C([O-])=O,3.25664,1.30567,1.09611,13.871,75.63,-0.1777,-0.0174,0.1603,1123.164,0.147395,-439.017693,-439.009064,-439.00812,-439.051521,32.036
62354,gdb_62355,OC1(C#C)C2OC(=N)C12,4.21547,1.14773,1.1093,2.4207,71.75,-0.2502,-0.0116,0.2387,1093.6884,0.098481,-436.604309,-436.596387,-436.595442,-436.636556,30.49
111100,gdb_111101,CCC1C2CC(O)C1O2,2.3296,1.46945,1.17207,1.8134,77.26,-0.2423,0.0663,0.3086,1163.3576,0.183258,-424.202989,-424.194368,-424.193424,-424.236256,33.517
106855,gdb_106856,COC12CC1(CC2)C#N,2.0627,1.69218,1.12548,3.9149,78.73,-0.2385,0.0201,0.2586,1126.4998,0.147326,-401.926433,-401.917788,-401.916844,-401.959869,32.173
44589,gdb_44590,O=C1CC2C3CN=C1N23,3.47956,1.77205,1.415,4.2504,69.94,-0.2506,-0.0508,0.1998,894.04,0.114944,-416.766256,-416.759935,-416.758991,-416.796897,25.208
23968,gdb_23969,C#Cc1cc(c[nH]1)C#N,6.24879,0.89926,0.78613,5.8021,84.92,-0.2298,-0.0263,0.2035,1332.0759,0.090567,-378.49942,-378.491782,-378.490838,-378.531652,28.581
75919,gdb_75920,NC1C(=N)OCC11CN1,2.71326,1.57303,1.12638,0.5683,73.01,-0.2469,0.0198,0.2667,1082.4006,0.150287,-435.249541,-435.241353,-435.240409,-435.282303,31.279
4086,gdb_4087,C1C=CC(=O)C1=NO,3.70872,1.97223,1.29782,3.3316,65.73,-0.2331,-0.0718,0.1613,867.6964,0.095628,-398.583386,-398.576546,-398.575602,-398.614536,25.411
9273,gdb_9274,OCC(O)CCC#C,6.70684,0.77626,0.72647,1.5895,70.39,-0.2576,0.0515,0.3091,1507.7698,0.151327,-384.901545,-384.892097,-384.891152,-384.936052,34.053
119758,gdb_119759,C[NH2+]CC1=CC(=O)O[CH-]1,4.80985,0.78399,0.70606,4.4089,75.53,-0.2348,-0.0114,0.2233,1586.7459,0.147606,-439.117314,-439.108503,-439.107559,-439.151591,31.867
1784,gdb_1785,CC1CC1(O)CO,5.18756,1.71886,1.58496,0.8857,60.51,-0.2518,0.062,0.3137,841.9375,0.146556,-346.835129,-346.826814,-346.82587,-346.867377,30.114
67493,gdb_67494,NC12C3OC3C1C2C#N,2.5747,1.71015,1.2926,6.2651,69.49,-0.255,0.0175,0.2725,979.12,0.112387,-416.723854,-416.716303,-416.715359,-416.755621,29.404
